Direction,Title,Filename,Size_GB,Quality_Score,Reason
Ali → Chris,the ref playweb mkv,The Ref (1994) {imdb-tt0110955} [AMZN][WEBDL-1080p][EAC3 5.1][h264]-playWEB.mkv,7.07,0,Only Ali has this file
Ali → Chris,eurotrip tayto mkv,EuroTrip (2004) {imdb-tt0356150} [Bluray-1080p][EAC3 5.1][x264]-TayTO.mkv,10.55,0,Only Ali has this file
Ali → Chris,the lobster p dd5 1 ebp mkv,The Lobster 2015 1080p BluRay DD5.1 x264-EbP.mkv,14.64,0,Only Ali has this file
Ali → Chris,hero and the terror p sadpanda mkv,Hero.and.the.Terror.1988.1080p.BluRay.x264-SADPANDA.mkv,6.55,0,Only Ali has this file
Ali → Chris,the bank job wming mkv,The Bank Job (2008) {imdb-tt0200465} - [Hybrid][Bluray-1080p Proper][EAC3 7.1][x264]-WMING.mkv,14.30,0,Only Ali has this file
Ali → Chris,perpetrator ptp mkv,Perpetrator (2023) {imdb-tt24082454} - [Bluray-1080p][AC3 5.1][x264]-PTP.mkv,9.16,0,Only Ali has this file
Ali → Chris,the twilight saga eclipse hallowed mkv,The Twilight Saga Eclipse (2010) {imdb-tt1325004} [Bluray-1080p][EAC3 5.1][x264]-hallowed.mkv,10.97,0,Only Ali has this file
Ali → Chris,wargames reborn mkv,WarGames (1983) {imdb-tt0086567} - [Bluray-1080p Proper][EAC3 5.1][DV HDR10][x265]-REBORN.mkv,30.66,0,Only Ali has this file
Ali → Chris,resident evil retribution p 7 1 legi0n mkv,Resident Evil Retribution 2012 1080p UHD BluRay TrueHD Atmos 7.1 DV x265-LEGi0N.mkv,16.16,0,Only Ali has this file
Ali → Chris,the dry p 5 1 ift mkv,The.Dry.2020.1080p.BluRay.DD+5.1.x264-iFT.mkv,12.95,0,Only Ali has this file
Ali → Chris,fury hidt mkv,Fury (2014) {imdb-tt2713180} [Hybrid][Bluray-1080p][DV HDR10][EAC3 Atmos 5.1][x265]-HiDt.mkv,20.00,0,Only Ali has this file
Ali → Chris,hellboy sbr mkv,Hellboy (2019) {imdb-tt2274648} [Bluray-1080p][EAC3 7.1][x264]-SbR.mkv,14.64,0,Only Ali has this file
Ali → Chris,jumanji sm737 mkv,Jumanji (1995) {imdb-tt0113497} [Bluray-1080p][DV HDR10][EAC3 Atmos 5.1][x265]-SM737.mkv,5.92,0,Only Ali has this file
Ali → Chris,black mirror bandersnatch wks mkv,Black Mirror Bandersnatch (2018) {imdb-tt9495224} [NF][WEBDL-1080p][DV][EAC3 5.1][h265]-WKS.mkv,4.29,0,Only Ali has this file
Ali → Chris,the farewell pter mkv,The Farewell (2019) {imdb-tt8637428} [Bluray-1080p][EAC3 5.1][x264]-PTer.mkv,10.08,0,Only Ali has this file
Ali → Chris,de palma ea mkv,De Palma (2016) {imdb-tt1683048} [Bluray-1080p][EAC3 5.1][x264]-EA.mkv,11.66,0,Only Ali has this file
Ali → Chris,shaun of the dead hidt mkv,Shaun of the Dead (2004) {imdb-tt0365748} - [Bluray-1080p][EAC3 Atmos 5.1][DV HDR10][x265]-HiDt.mkv,16.20,0,Only Ali has this file
Ali → Chris,tomb raider tayto mkv,Tomb Raider (2018) {imdb-tt1365519} [Hybrid][Bluray-1080p][DTS 5.1][x264]-TayTO.mkv,15.74,0,Only Ali has this file
Ali → Chris,never say never again sbr mkv,Never Say Never Again (1983) [imdb-tt0086006][Bluray-1080p][8bit][x264][DTS 5.1]-SbR.mkv,21.80,0,Only Ali has this file
Ali → Chris,dc league of super pets p 7 1 ift mkv,DC.League.of.Super-Pets.2022.1080p.BluRay.DD+7.1.x264-iFT.mkv,13.09,0,Only Ali has this file
Ali → Chris,the tourist tayto mkv,The Tourist (2010) {imdb-tt1243957} - [4K Remaster][Bluray-1080p][EAC3 5.1][x264]-TayTO.mkv,12.03,0,Only Ali has this file
Ali → Chris,major payne don mkv,Major Payne (1995) {imdb-tt0110443} [Bluray-1080p][DTS 5.1][x264]-DON.mkv,15.32,0,Only Ali has this file
Ali → Chris,reindeer games valyrian mkv,Reindeer Games (2000) {imdb-tt0184858} [Bluray-1080p][DTS 5.1][x264]-VALYRiAN.mkv,12.21,0,Only Ali has this file
Ali → Chris,the magnificent seven c0ke mkv,The Magnificent Seven (1960) {imdb-tt0054047} [Bluray-1080p][DV HDR10][EAC3 5.1][x265]-c0kE.mkv,19.94,0,Only Ali has this file
Ali → Chris,smallfoot p viethd mkv,Smallfoot 2018 1080p BluRay DTS x264-VietHD.mkv,8.96,0,Only Ali has this file
Ali → Chris,creation p dd5 1 pif4 mkv,Creation.2009.1080p.BluRay.x264.DD5.1-PiF4.mkv,8.73,0,Only Ali has this file
Ali → Chris,slow bart mkv,Slow (2023) {imdb-tt15289510} [HMAX][WEBDL-1080p][AC3 5.1][x264]-Bart.mkv,6.24,0,Only Ali has this file
Ali → Chris,american honey p dd5 1 sa89 mkv,American.Honey.2016.1080p.BluRay.DD5.1.x264-SA89.mkv,16.53,0,Only Ali has this file
Ali → Chris,we live in time knives mkv,We Live in Time (2024) {imdb-tt27131358} [Bluray-1080p][TrueHD Atmos 7.1][x264]-knives.mkv,17.91,0,Only Ali has this file
Ali → Chris,hitch p hdv mkv,Hitch.2005.1080p.BluRay.DTS.x264-HDV.mkv,12.32,0,Only Ali has this file
Ali → Chris,we're back! a dinosaurs story doc mkv,We're Back! A Dinosaurs Story (1993) {imdb-tt0108526} [Bluray-1080p][EAC3 5.1][x264]-doc.mkv,12.28,0,Only Ali has this file
Ali → Chris,american pie presents the naked mile p nifty mkv,american.pie.presents.the.naked.mile.2006.1080p.bluray.x264-nifty.mkv,14.07,0,Only Ali has this file
Ali → Chris,ace ventura when nature calls dm mkv,Ace Ventura When Nature Calls (1995) [imdb-tt0112281][Bluray-1080p][8bit][x264][DTS 5.0]-DM.mkv,10.01,0,Only Ali has this file
Ali → Chris,the humanity bureau evo mkv,The Humanity Bureau (2017) {imdb-tt6143568} [Bluray-1080p][DTS 5.1][x264]-EVO.mkv,10.38,0,Only Ali has this file
Ali → Chris,bandit wilf mkv,Bandit (2022) {imdb-tt9853500} - [Bluray-1080p][EAC3 5.1][x264]-WILF.mkv,16.62,0,Only Ali has this file
Ali → Chris,midnight cowboy don mkv,Midnight Cowboy (1969) {imdb-tt0064665} [Bluray-1080p][DTS 5.1][x264]-DON.mkv,13.35,0,Only Ali has this file
Ali → Chris,the vault pter mkv,The Vault (2021) {imdb-tt9742794} [Bluray-1080p][EAC3 5.1][x264]-PTer.mkv,17.15,0,Only Ali has this file
Ali → Chris,damaged hallowed mkv,Damaged (2024) {imdb-tt27304026} [Bluray-1080p][EAC3 5.1][x264]-hallowed.mkv,7.25,0,Only Ali has this file
Ali → Chris,pitch perfect 2 repack p viethd mkv,Pitch.Perfect.2.2015.REPACK.1080p.BluRay.DTS.x264-VietHD.mkv,11.41,0,Only Ali has this file
