Title,Winner,Ali_File,Ali_Score,Chris_File,Chris_Score,Action,Deleted_Path,Reason
Oceans (2010),ali,Oceans (2010) {tmdb-36970} - [Bluray-1080p][DTS 5.1][x264]-HBRAX.mkv,3910,,0,COPY Ali → Chris,,Only Ali has this file
V H S Beyond (2024),ali,V H S Beyond (2024) {tmdb-1190868} - [Bluray-1080p][EAC3 5.1][x264]-PTer.mkv,3898,V H S Beyond (2024) {tmdb-1190868} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-FLUX.mkv,3327,"MOVE Chris's to Deleted, COPY Ali's to Chris",/mnt/synology/rs-4kmedia/deleted/Movies,Ali's version is higher quality (+571)
An American Pickle (2020),tie,An American Pickle (2020) {tmdb-628917} - [HMAX][WEBDL-1080p][AC3 5.1][h264]-NTG.mkv,3253,An American Pickle (2020) {tmdb-628917} - [WEBDL-1080p][AC3 5.1][h264]-NTG.mkv,3253,NO ACTION (keep both),,Both versions are equal quality (3253)
The Perfect Neighbor (2025),tie,The Perfect Neighbor (2025) {tmdb-1400782} - [NF][WEBDL-1080p][EAC3 5.1][x264]-FLUX.mkv,3288,The Perfect Neighbor (2025) {tmdb-1400782} - [NF][WEBDL-1080p][EAC3 5.1][x264]-FLUX.mkv,3288,NO ACTION (keep both),,Both versions are equal quality (3288)
Virus 32 (2022),tie,Virus 32 (2022) {tmdb-893370} - [Bluray-1080p][EAC3 5.1][x264]-i9.mkv,3851,Virus 32 (2022) {tmdb-893370} - [Bluray-1080p][EAC3 5.1][x264]-i9.mkv,3851,NO ACTION (keep both),,Both versions are equal quality (3851)
The Secret of My Success (1987),chris,,0,The Secret of My Success (1987) {tmdb-10021} - [Bluray-720p][DTS 2.0][x264]-AMIABLE.mkv,2843,COPY Chris → Ali,,Only Chris has this file
American Pie 2 (2001),tie,American Pie 2 (2001) {tmdb-2770} - {edition-Unrated} [Bluray-1080p][DTS 5.1][x264]-CtrlHD.mkv,3931,American Pie 2 (2001) {tmdb-2770} - {edition-Unrated} [Bluray-1080p][DTS 5.1][x264]-CtrlHD.mkv,3931,NO ACTION (keep both),,Both versions are equal quality (3931)
Gifted (2017),chris,,0,Gifted (2017) {tmdb-400928} - [Remux-1080p][DTS-HD MA 5.1][AVC]-KRaLiMaRKo.mkv,4700,COPY Chris → Ali,,Only Chris has this file
To End All War Oppenheimer and the Atomic Bomb (2023),ali,To End All War Oppenheimer and the Atomic Bomb (2023) {tmdb-1149947} - [Bluray-1080p][FLAC 2.0][x264]-Pussyfoot.mkv,3693,To End All War Oppenheimer and the Atomic Bomb (2023) {tmdb-1149947} - [PCOK][WEBDL-1080p][EAC3 5.1][x264]-PTerWEB.mkv,3298,"MOVE Chris's to Deleted, COPY Ali's to Chris",/mnt/synology/rs-4kmedia/deleted/Movies,Ali's version is higher quality (+395)
Sincerely Louis C.K. (2020),tie,Sincerely Louis C.K. (2020) {tmdb-689643} - [WEBDL-720p][AAC 2.0][h264]-SaL.mkv,2171,Sincerely Louis C.K. (2020) {tmdb-689643} - [WEBDL-720p][AAC 2.0][h264]-SaL.mkv,2171,NO ACTION (keep both),,Both versions are equal quality (2171)
