title,filename,path,relative_path,size_bytes,size_gb,resolution,width,height,video_codec,audio_codec,hdr,source,group,duration_minutes,bitrate_mbps
P.S. I Love You (2007),P.S. I Love You (2007) {tmdb-6023} - [Bluray-1080p][DTS 5.1][x264]-CtrlHD.mkv,/mnt/synology/rs-movies/P.S. I Love You (2007)/P.S. I Love You (2007) {tmdb-6023} - [Bluray-1080p][DTS 5.1][x264]-CtrlHD.mkv,P.S. I Love You (2007)/P.S. I Love You (2007) {tmdb-6023} - [Bluray-1080p][DTS 5.1][x264]-CtrlHD.mkv,10821239949,10.08,1080p,,,H.264,DTS,,BluRay,,,
Tactical Force (2011),Tactical Force (2011) {tmdb-70008} - [Bluray-720p][AC3 5.1][x264].mkv,/mnt/synology/rs-movies/Tactical Force (2011)/Tactical Force (2011) {tmdb-70008} - [Bluray-720p][AC3 5.1][x264].mkv,Tactical Force (2011)/Tactical Force (2011) {tmdb-70008} - [Bluray-720p][AC3 5.1][x264].mkv,2682809610,2.5,720p,,,H.264,DD,,BluRay,,,
Father of the Bride (2022),Father of the Bride (2022) {tmdb-746419} - [WEBDL-1080p][EAC3 Atmos 5.1][x264]-CMRG.mkv,/mnt/synology/rs-movies/Father of the Bride (2022)/Father of the Bride (2022) {tmdb-746419} - [WEBDL-1080p][EAC3 Atmos 5.1][x264]-CMRG.mkv,Father of the Bride (2022)/Father of the Bride (2022) {tmdb-746419} - [WEBDL-1080p][EAC3 Atmos 5.1][x264]-CMRG.mkv,7924507853,7.38,1080p,,,H.264,DD+,,WEB-DL,,,
Dungeons and Dragons Honor Among Thieves (2023),Dungeons and Dragons Honor Among Thieves (2023) {tmdb-493529} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-Kitsune.mkv,/mnt/synology/rs-movies/Dungeons and Dragons Honor Among Thieves (2023)/Dungeons and Dragons Honor Among Thieves (2023) {tmdb-493529} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-Kitsune.mkv,Dungeons and Dragons Honor Among Thieves (2023)/Dungeons and Dragons Honor Among Thieves (2023) {tmdb-493529} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-Kitsune.mkv,8663611032,8.07,1080p,,,H.264,DD+,,WEB-DL,,,
Team America World Police (2004),Team America World Police (2004) {tmdb-3989} - [Bluray-1080p][DTS 5.1][x264]-HDMaNiAcS.mkv,/mnt/synology/rs-movies/Team America World Police (2004)/Team America World Police (2004) {tmdb-3989} - [Bluray-1080p][DTS 5.1][x264]-HDMaNiAcS.mkv,Team America World Police (2004)/Team America World Police (2004) {tmdb-3989} - [Bluray-1080p][DTS 5.1][x264]-HDMaNiAcS.mkv,13328833985,12.41,1080p,,,H.264,DTS,,BluRay,,,
Wrong Turn 4 Bloody Beginnings (2011),Wrong Turn 4 Bloody Beginnings (2011) {tmdb-71672} - [Bluray-1080p][DTS 5.1][x264].mkv,/mnt/synology/rs-movies/Wrong Turn 4 Bloody Beginnings (2011)/Wrong Turn 4 Bloody Beginnings (2011) {tmdb-71672} - [Bluray-1080p][DTS 5.1][x264].mkv,Wrong Turn 4 Bloody Beginnings (2011)/Wrong Turn 4 Bloody Beginnings (2011) {tmdb-71672} - [Bluray-1080p][DTS 5.1][x264].mkv,7919734636,7.38,1080p,,,H.264,DTS,,BluRay,,,
Bring Her Back (2025),Bring Her Back (2025) {tmdb-1151031} - [Bluray-1080p][TrueHD Atmos 7.1][h264]-RiSEHD.mkv,/mnt/synology/rs-movies/Bring Her Back (2025)/Bring Her Back (2025) {tmdb-1151031} - [Bluray-1080p][TrueHD Atmos 7.1][h264]-RiSEHD.mkv,Bring Her Back (2025)/Bring Her Back (2025) {tmdb-1151031} - [Bluray-1080p][TrueHD Atmos 7.1][h264]-RiSEHD.mkv,30134836150,28.07,1080p,,,H.264,TrueHD,,BluRay,,,
Airplane! (1980),Airplane! (1980) {tmdb-813} - [Bluray-1080p][DTS 5.1][x264].mkv,/mnt/synology/rs-movies/Airplane! (1980)/Airplane! (1980) {tmdb-813} - [Bluray-1080p][DTS 5.1][x264].mkv,Airplane! (1980)/Airplane! (1980) {tmdb-813} - [Bluray-1080p][DTS 5.1][x264].mkv,7042002611,6.56,1080p,,,H.264,DTS,,BluRay,,,
Magic Camp (2020),Magic Camp (2020) {tmdb-454433} - [DSNP][WEBDL-1080p Proper][EAC3 Atmos 5.1][h264]-CMRG.mkv,/mnt/synology/rs-movies/Magic Camp (2020)/Magic Camp (2020) {tmdb-454433} - [DSNP][WEBDL-1080p Proper][EAC3 Atmos 5.1][h264]-CMRG.mkv,Magic Camp (2020)/Magic Camp (2020) {tmdb-454433} - [DSNP][WEBDL-1080p Proper][EAC3 Atmos 5.1][h264]-CMRG.mkv,6794648001,6.33,1080p,,,H.264,DD+,,WEB-DL,,,
Fathom (2021),Fathom (2021) {tmdb-819024} - [ATVP][WEBDL-1080p][EAC3 Atmos 5.1][h264]-CMRG.mkv,/mnt/synology/rs-movies/Fathom (2021)/Fathom (2021) {tmdb-819024} - [ATVP][WEBDL-1080p][EAC3 Atmos 5.1][h264]-CMRG.mkv,Fathom (2021)/Fathom (2021) {tmdb-819024} - [ATVP][WEBDL-1080p][EAC3 Atmos 5.1][h264]-CMRG.mkv,7050991680,6.57,1080p,,,H.264,DD+,,WEB-DL,,,
Turning Red (2022),Turning Red (2022) {tmdb-508947} - [Bluray-1080p][EAC3 7.1][x264]-iFT.mkv,/mnt/synology/rs-movies/Turning Red (2022)/Turning Red (2022) {tmdb-508947} - [Bluray-1080p][EAC3 7.1][x264]-iFT.mkv,Turning Red (2022)/Turning Red (2022) {tmdb-508947} - [Bluray-1080p][EAC3 7.1][x264]-iFT.mkv,14704984573,13.7,1080p,,,H.264,DD+,,BluRay,,,
