title,filename,path,size_bytes,size_gb,resolution,width,height,video_codec,audio_codec,hdr,source,group,duration_minutes,bitrate_mbps
Final Destination 5 (2011),Final Destination 5 (2011) {imdb-tt1622979} [Remux-1080p][DTS-HD MA 5.1][AVC]-FraMeSToR.mkv,/mnt/synology/rs-movies/Final Destination 5 (2011)/Final Destination 5 (2011) {imdb-tt1622979} [Remux-1080p][DTS-HD MA 5.1][AVC]-FraMeSToR.mkv,14293352284,13.31,1080p,1920.0,1080.0,H.264,DTS-HD,,Remux,,91.8,20.75
The Hammer (2007),The Hammer (2007) {imdb-tt0814130} [WEBDL-1080p][EAC3 5.1][h264]-DiMEPiECE.mkv,/mnt/synology/rs-movies/The Hammer (2007)/The Hammer (2007) {imdb-tt0814130} [WEBDL-1080p][EAC3 5.1][h264]-DiMEPiECE.mkv,9787803206,9.12,1080p,1920.0,1080.0,H.264,DD+,,WEB-DL,,91.0,14.34
Eenie Meanie (2025),Eenie Meanie (2025) {imdb-tt15514498} - [DSNP][WEBDL-1080p][EAC3 Atmos 5.1][h264]-FLUX.mkv,/mnt/synology/rs-movies/Eenie Meanie (2025)/Eenie Meanie (2025) {imdb-tt15514498} - [DSNP][WEBDL-1080p][EAC3 Atmos 5.1][h264]-FLUX.mkv,4754988823,4.43,1080p,1920.0,1080.0,H.264,DD+,,WEB-DL,,106.2,5.97
Leaving Las Vegas (1995),Leaving Las Vegas (1995) {imdb-tt0113627} [Bluray-720p][AC3 5.1][x264]-EbP.mkv,/mnt/synology/rs-movies/Leaving Las Vegas (1995)/Leaving Las Vegas (1995) {imdb-tt0113627} [Bluray-720p][AC3 5.1][x264]-EbP.mkv,7042109740,6.56,720p,1280.0,694.0,H.264,DD,,BluRay,,112.0,8.38
Leaving Las Vegas (1995),Leaving Las Vegas (1995) {imdb-tt0113627} {edition-Unrated} [Bluray-1080p][DTS-HD MA 5.1][x264]-TUSAHD.mkv,/mnt/synology/rs-movies/Leaving Las Vegas (1995)/Leaving Las Vegas (1995) {imdb-tt0113627} {edition-Unrated} [Bluray-1080p][DTS-HD MA 5.1][x264]-TUSAHD.mkv,14662924504,13.66,1080p,1920.0,1040.0,H.264,DTS-HD,,BluRay,,112.0,17.45
Mud (2013),Mud (2013) {imdb-tt1935179} [Bluray-1080p][AC3 5.1][x264]-SA89.mkv,/mnt/synology/rs-movies/Mud (2013)/Mud (2013) {imdb-tt1935179} [Bluray-1080p][AC3 5.1][x264]-SA89.mkv,19601335288,18.26,1080p,1920.0,816.0,H.264,DD,,BluRay,,130.7,20.0
Captain America Civil War (2016),Captain America Civil War (2016) {imdb-tt3498820} [Bluray-1080p][HDR10][EAC3 7.1][x265]-NCmt.mkv,/mnt/synology/rs-movies/Captain America Civil War (2016)/Captain America Civil War (2016) {imdb-tt3498820} [Bluray-1080p][HDR10][EAC3 7.1][x265]-NCmt.mkv,14365103105,13.38,1080p,1920.0,800.0,H.265,DD+,HDR10,BluRay,,147.7,12.97
Why Him! (2016),Why Him! (2016) {imdb-tt4501244} [Bluray-1080p][AC3 5.1][x264]-DON.mkv,/mnt/synology/rs-movies/Why Him! (2016)/Why Him! (2016) {imdb-tt4501244} [Bluray-1080p][AC3 5.1][x264]-DON.mkv,14662268116,13.66,1080p,1920.0,1038.0,H.264,DD,,BluRay,,111.2,17.58
King Richard (2021),King Richard (2021) {imdb-tt9620288} [HMAX][WEBDL-1080p][EAC3 Atmos 5.1][x264]-CMRG.mkv,/mnt/synology/rs-movies/King Richard (2021)/King Richard (2021) {imdb-tt9620288} [HMAX][WEBDL-1080p][EAC3 Atmos 5.1][x264]-CMRG.mkv,9781821166,9.11,1080p,1920.0,816.0,H.264,DD+,,WEB-DL,,144.7,9.02
Scandal (1989),Scandal (1989) {imdb-tt0098260} [Bluray-1080p][FLAC 2.0][x264]-spooks.mkv,/mnt/synology/rs-movies/Scandal (1989)/Scandal (1989) {imdb-tt0098260} [Bluray-1080p][FLAC 2.0][x264]-spooks.mkv,8525288131,7.94,1080p,1920.0,1040.0,H.264,FLAC,,BluRay,,114.4,9.94
Love Never Dies (2012),Love Never Dies (2012) {imdb-tt2243393} [Bluray-720p][DTS 5.1][x264].mkv,/mnt/synology/rs-movies/Love Never Dies (2012)/Love Never Dies (2012) {imdb-tt2243393} [Bluray-720p][DTS 5.1][x264].mkv,7038624107,6.56,720p,1280.0,544.0,H.264,DTS,,BluRay,,121.1,7.75
We Are Legion The Story of the Hacktivists (2012),We Are Legion The Story of the Hacktivists (2012) {imdb-tt2177843} [AMZN][WEBDL-1080p][EAC3 2.0][h264]-KamiKaze.mkv,/mnt/synology/rs-movies/We Are Legion The Story of the Hacktivists (2012)/We Are Legion The Story of the Hacktivists (2012) {imdb-tt2177843} [AMZN][WEBDL-1080p][EAC3 2.0][h264]-KamiKaze.mkv,6231066766,5.8,1080p,1920.0,1080.0,H.264,DD+,,WEB-DL,,94.6,8.78
Babes (2024),Babes (2024) {imdb-tt21276958} [Bluray-1080p][DTS-HD MA 5.1][x264]-PiGNUS.mkv,/mnt/synology/rs-movies/Babes (2024)/Babes (2024) {imdb-tt21276958} [Bluray-1080p][DTS-HD MA 5.1][x264]-PiGNUS.mkv,12394570721,11.54,1080p,1920.0,1036.0,H.264,DTS-HD,,BluRay,,104.2,15.86
Almost Famous (2000),Almost Famous (2000) {imdb-tt0181875} [Bluray-1080p][DV HDR10][EAC3 5.1][x265]-PTer.mkv,/mnt/synology/rs-movies/Almost Famous (2000)/Almost Famous (2000) {imdb-tt0181875} [Bluray-1080p][DV HDR10][EAC3 5.1][x265]-PTer.mkv,24089218512,22.43,1080p,1920.0,1038.0,H.265,DD+,DV HDR10,BluRay,,161.5,19.89
